account_transaction_id,transaction_date,customer_id,customer_name,partner_id,partner_name,warehouse_id,warehouse_name,creator_type,creator_id,description,total,Below Min Storage,Carrier Fees,Credit Card,Pack,Packaging,Payment Processing,Pick,Storage,package_count,merch_count
99927097,2021-05-03 18:04:01,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,24461372,Total charges for Order 24461372,-12.72,0.0,-9.02,0.0,-2.5,-1.2,0.0,0.0,0.0,1,1.0
99927488,2021-05-03 18:05:28,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,24498320,Total charges for Order 24498320,-38.5,0.0,-31.8,0.0,-2.5,-1.2,0.0,-3.0,0.0,1,5.0
99928008,2021-05-03 18:07:28,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,24501642,Total charges for Order 24501642,-14.99,0.0,-11.29,0.0,-2.5,-1.2,0.0,0.0,0.0,1,1.0
99928378,2021-05-03 18:08:41,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,24508195,Total charges for Order 24508195,-7.5,0.0,-3.8,0.0,-2.5,-1.2,0.0,0.0,0.0,1,1.0
99928919,2021-05-03 18:10:22,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,24514037,Total charges for Order 24514037,-9.62,0.0,-4.42,0.0,-2.5,-1.2,0.0,-1.5,0.0,1,3.0
99929366,2021-05-03 18:12:08,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,24518468,Total charges for Order 24518468,-14.0,0.0,-10.3,0.0,-2.5,-1.2,0.0,0.0,0.0,1,1.0
99929794,2021-05-03 18:13:38,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,24521035,Total charges for Order 24521035,-13.12,0.0,-9.42,0.0,-2.5,-1.2,0.0,0.0,0.0,1,1.0
99946790,2021-05-03 19:00:44,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,24472825,Total charges for Order 24472825,-12.56,0.0,-8.86,0.0,-2.5,-1.2,0.0,0.0,0.0,1,1.0
99947523,2021-05-03 19:02:48,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,24498480,Total charges for Order 24498480,-30.83,0.0,-24.88,0.0,-2.5,-1.2,0.0,-2.25,0.0,1,4.0
99948888,2021-05-03 19:06:41,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,24519643,Total charges for Order 24519643,-15.19,0.0,-11.49,0.0,-2.5,-1.2,0.0,0.0,0.0,1,1.0
99958551,2021-05-03 19:33:47,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,24522287,Total charges for Order 24522287,-8.87,0.0,-4.42,0.0,-2.5,-1.2,0.0,-0.75,0.0,1,2.0
99959145,2021-05-03 19:35:32,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,24525908,Total charges for Order 24525908,-12.51,0.0,-8.81,0.0,-2.5,-1.2,0.0,0.0,0.0,1,1.0
99959614,2021-05-03 19:37:11,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,24535442,Total charges for Order 24535442,-8.87,0.0,-4.42,0.0,-2.5,-1.2,0.0,-0.75,0.0,1,2.0
99960262,2021-05-03 19:39:22,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,24537859,Total charges for Order 24537859,-7.5,0.0,-3.8,0.0,-2.5,-1.2,0.0,0.0,0.0,1,1.0
99960726,2021-05-03 19:40:55,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,24544377,Total charges for Order 24544377,-7.5,0.0,-3.8,0.0,-2.5,-1.2,0.0,0.0,0.0,1,1.0
100107276,2021-05-04 15:04:42,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,24559690,Total charges for Order 24559690,-8.87,0.0,-4.42,0.0,-2.5,-1.2,0.0,-0.75,0.0,1,2.0
100107832,2021-05-04 15:07:23,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,24570533,Total charges for Order 24570533,-9.62,0.0,-4.42,0.0,-2.5,-1.2,0.0,-1.5,0.0,1,3.0
100108134,2021-05-04 15:08:42,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,24581878,Total charges for Order 24581878,-7.5,0.0,-3.8,0.0,-2.5,-1.2,0.0,0.0,0.0,1,1.0
